month,stage,protein,product,price_per_unit,uom,normalised_price,normalised_uom
2019-08,farm,milk,Unprocessed milk from bovine [11612111],727.16,Dollars per kilolitre,0.73,Dollars per litre
2019-08,farm,egg,Eggs in shell [116111],1.42,Dollars per dozen,1.42,Dollars per dozen
2019-08,retail,beef,"Beef stewing cuts, per kilogram",14.62,Dollars,14.62,Dollars
2019-08,retail,beef,"Beef striploin cuts, per kilogram",18.42,Dollars,18.42,Dollars
2019-08,retail,beef,"Beef top sirloin cuts, per kilogram",12.36,Dollars,12.36,Dollars
2019-08,retail,beef,"Beef rib cuts, per kilogram",22.98,Dollars,22.98,Dollars
2019-08,retail,beef,"Ground beef, per kilogram",9.73,Dollars,9.73,Dollars
2019-08,retail,pork,"Pork loin cuts, per kilogram",9.29,Dollars,9.29,Dollars
2019-08,retail,pork,"Pork rib cuts, per kilogram",8.58,Dollars,8.58,Dollars
2019-08,retail,pork,"Pork shoulder cuts, per kilogram",9.04,Dollars,9.04,Dollars
2019-08,retail,chicken,"Whole chicken, per kilogram",4.86,Dollars,4.86,Dollars
2019-08,retail,chicken,"Chicken breasts, per kilogram",11.43,Dollars,11.43,Dollars
2019-08,retail,chicken,"Chicken thigh, per kilogram",8.06,Dollars,8.06,Dollars
2019-08,retail,chicken,"Chicken drumsticks, per kilogram",5.43,Dollars,5.43,Dollars
2019-08,retail,pork,"Bacon, 500 grams",5.93,Dollars,11.86,Dollars per kg
2019-08,retail,milk,"Milk, 1 litre",3.02,Dollars,3.02,Dollars per litre
2019-08,retail,milk,"Milk, 2 litres",4.57,Dollars,2.29,Dollars per litre
2019-08,retail,milk,"Milk, 4 litres",4.85,Dollars,1.21,Dollars per litre
2019-08,retail,egg,"Eggs, 1 dozen",3.16,Dollars,3.16,Dollars
2019-09,farm,beef,Steers for slaughter [111111113],131.39,Dollars per hundredweight,2.9,Dollars per kg
2019-09,farm,beef,Heifers for slaughter [111111114],127.56,Dollars per hundredweight,2.81,Dollars per kg
2019-09,farm,pork,Hogs [111121],81.11,Dollars per hundredweight,1.79,Dollars per kg
2019-09,farm,chicken,Chickens for meat [11113131],2.09,Dollars per kilogram,2.09,Dollars per kilogram
2019-09,farm,milk,Unprocessed milk from bovine [11612111],746.72,Dollars per kilolitre,0.75,Dollars per litre
2019-09,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2019-09,retail,beef,"Beef stewing cuts, per kilogram",14.54,Dollars,14.54,Dollars
2019-09,retail,beef,"Beef striploin cuts, per kilogram",16.94,Dollars,16.94,Dollars
2019-09,retail,beef,"Beef top sirloin cuts, per kilogram",14.1,Dollars,14.1,Dollars
2019-09,retail,beef,"Beef rib cuts, per kilogram",23.19,Dollars,23.19,Dollars
2019-09,retail,beef,"Ground beef, per kilogram",8.63,Dollars,8.63,Dollars
2019-09,retail,pork,"Pork loin cuts, per kilogram",8.35,Dollars,8.35,Dollars
2019-09,retail,pork,"Pork rib cuts, per kilogram",6.74,Dollars,6.74,Dollars
2019-09,retail,pork,"Pork shoulder cuts, per kilogram",8.62,Dollars,8.62,Dollars
2019-09,retail,chicken,"Whole chicken, per kilogram",5.55,Dollars,5.55,Dollars
2019-09,retail,chicken,"Chicken breasts, per kilogram",11.54,Dollars,11.54,Dollars
2019-09,retail,chicken,"Chicken thigh, per kilogram",10.15,Dollars,10.15,Dollars
2019-09,retail,chicken,"Chicken drumsticks, per kilogram",6.46,Dollars,6.46,Dollars
2019-09,retail,pork,"Bacon, 500 grams",6.02,Dollars,12.04,Dollars per kg
2019-09,retail,milk,"Milk, 1 litre",3.04,Dollars,3.04,Dollars per litre
2019-09,retail,milk,"Milk, 2 litres",4.57,Dollars,2.29,Dollars per litre
2019-09,retail,milk,"Milk, 4 litres",4.83,Dollars,1.21,Dollars per litre
2019-09,retail,egg,"Eggs, 1 dozen",3.32,Dollars,3.32,Dollars
2019-10,farm,beef,Steers for slaughter [111111113],130.3,Dollars per hundredweight,2.87,Dollars per kg
2019-10,farm,beef,Heifers for slaughter [111111114],125.97,Dollars per hundredweight,2.78,Dollars per kg
2019-10,farm,pork,Hogs [111121],80.3,Dollars per hundredweight,1.77,Dollars per kg
2019-10,farm,chicken,Chickens for meat [11113131],2.13,Dollars per kilogram,2.13,Dollars per kilogram
2019-10,farm,milk,Unprocessed milk from bovine [11612111],763.21,Dollars per kilolitre,0.76,Dollars per litre
2019-10,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2019-10,retail,beef,"Beef stewing cuts, per kilogram",13.85,Dollars,13.85,Dollars
2019-10,retail,beef,"Beef striploin cuts, per kilogram",18.9,Dollars,18.9,Dollars
